Height,Weight,Bust,Stomach,Hips,,Neck,Sleeve Length (F/S),Shoulder Width,Torso Length,Bicep,Wrist,,Rise,Length (Leg),Waist (Pants),THigh
150,80,111.4,109.1,108.7,,42.7,53.1,47.6,66.7,37.2,18.5,,67.7,85.2,101,62.8
155,80,110.3,106.9,107.5,,42.3,55.1,47.8,68.4,36.7,18.5,,67.5,88.5,99.7,62.1
160,80,109.2,104.8,106.5,,42,57.1,48,70.2,36.1,18.5,,67.4,91.8,98.7,61.3
165,80,108.1,102.8,105.5,,41.7,59.1,48.2,72,35.6,18.6,,67.3,95.1,97.7,60.6
170,80,107,100.9,104.6,,41.5,61.2,48.4,73.8,35,18.6,,67.2,98.5,96.7,59.8
175,80,106,99,103.7,,41.2,63.2,48.7,75.6,34.5,18.7,,67.1,101.8,95.8,59.1
180,80,105,97.2,102.8,,41,65.2,48.9,77.5,33.9,18.7,,67,105.1,94.9,58.3
185,80,104,95.6,101.8,,40.8,67.3,49.2,79.3,33.4,18.8,,66.9,108.3,94,57.5
190,80,103.2,93.7,100.9,,40.7,69.3,49.4,81.1,33,18.9,,66.8,111.6,93.1,56.8
195,80,102.5,92.2,99.8,,40.7,71.2,49.7,82.9,32.6,18.9,,66.7,114.7,92.1,56.1
200,80,102.1,90.8,98.5,,40.7,73.1,50.1,84.5,32.4,19,,66.6,117.6,90.9,55.5
150,80,110.8,112.6,109.7,,42.7,53.3,47.4,66.5,36.6,18.4,,68.2,85.5,99.8,63.1
155,80,107.6,101.6,107.4,,41.5,55,47.3,68.1,36,18.3,,67.5,88.6,97.7,62.2
160,80,106.4,99.4,105.8,,41.3,57,47.5,69.8,35.4,18.3,,67.2,91.8,96.2,61.3
165,80,105.4,97.5,104.7,,41,59,47.7,71.7,34.8,18.4,,67,95.1,95.2,60.5
170,80,104.3,95.6,103.7,,40.8,61,48,73.5,34.2,18.4,,66.8,98.4,94.2,59.7
175,80,103.3,93.7,102.8,,40.6,63,48.2,75.3,33.6,18.5,,66.7,101.7,93.3,58.9
180,80,102.3,91.9,101.8,,40.4,65.1,48.4,77.2,33.1,18.5,,66.6,105,97.5,58.1
185,80,101.2,90,100.9,,40.1,67.1,48.7,79,32.5,18.5,,66.5,108.2,91.6,57.4
190,80,100.2,88.1,100,,39.9,69.1,48.9,80.8,31.9,18.6,,66.3,111.5,90.6,56.6
195,80,99.1,86.2,99.1,,39.7,71.2,49.1,82.6,31.3,18.6,,66.2,114.7,89.7,55.9
200,80,98.1,84.2,98.2,,39.4,73.2,49.3,84.4,30.7,18.7,,66.1,117.9,88.8,55.2
150,80,110.8,112.6,110.7,,42.7,53.3,47.4,67,36.1,18.4,,68.8,85.4,104.1,62.3
155,80,109.5,110.2,109.2,,42.4,55.2,47.6,68.7,35.5,18.4,,68.5,88.6,102.6,61.5
160,80,108.3,108,108,,42.1,57.2,47.7,70.4,35,18.4,,68.3,91.9,101.4,60.8
165,80,107.2,106,106.9,,41.8,59.2,48,72.2,34.4,18.5,,68.2,95,100.3,60.1
170,80,106.1,104.1,106,,41.5,61.2,48.2,74,33.9,18.5,,68,98.4,99.3,59.3
175,80,105.1,102.2,105,,41.3,63.2,48.4,75.8,33.4,18.6,,67.9,101.7,98.4,58.6
180,80,104.2,100.5,104.1,,41.1,65.3,48.7,77.6,32.9,18.6,,67.9,105,97.5,57.9
185,80,103.5,98.8,103.2,,41,67.3,48.9,79.4,32.5,18.7,,67.8,108.2,96.6,57.2
190,80,103,97.4,102.3,,40.9,69.2,49.3,81.2,32.2,18.8,,67.7,111.4,95.6,56.5
195,80,102.7,96,101.2,,40.9,71.1,49.6,82.9,32,18.9,,67.7,114.4,94.5,55.9
200,80,102.6,94.6,99.8,,40.9,72.9,50,84.5,31.9,19,,67.5,117.3,93.2,55.4
180,60,91.1,79.3,90.9,,37.6,65.3,45.2,75.1,28.9,17.5,,61.9,105.2,82.1,50.8
180,65,94.2,83.1,93.8,,38.3,65.3,46,75.7,30,17.8,,63.1,105.2,85,52.6
180,70,97.3,86.8,96.6,,39.1,65.2,46.9,76.2,31.2,18,,64.3,105.1,87.9,54.5
180,75,100.4,90.6,99.4,,39.9,65.2,47.8,76.7,32.3,18.3,,65.5,105.1,90.7,56.4
180,80,103.6,94.4,102.3,,40.7,65.1,48.7,77.3,33.5,18.6,,66.8,105,93.6,58.2
180,85,106.7,98.2,105.1,,41.4,65.1,49.5,77.8,34.6,18.9,,68,104.9,96.5,60.1
180,90,109.9,102.1,107.9,,42.2,65.1,50.4,78.4,35.8,19.2,,69.2,104.8,99.4,62
180,95,113.1,105.9,110.8,,43,65,51.3,78.9,36.9,19.5,,70.5,104.8,102.3,63.9
180,100,116.2,109.8,113.7,,43.8,65,52.2,79.5,38.1,19.8,,71.7,104.7,105.2,65.7
180,105,119.4,113.6,116.6,,44.6,64.9,53,80,39.3,20.1,,73,104.6,108.2,67.6
180,110,122.4,117.5,119.6,,45.4,64.9,53.9,80.5,40.4,20.3,,74.4,104.5,111.2,69.5
180,115,125.3,121.3,122.7,,46.1,64.9,54.6,81.1,41.5,20.6,,75.7,104.4,114.3,71.3
180,120,128.1,125,125.9,,46.8,64.9,55.3,81.6,42.4,20.9,,77.1,104.3,117.6,73.1
180,125,130.8,128.7,129,,47.5,64.9,56,82.1,43.4,21.2,,78.5,104.2,120.7,74.8
180,130,133.5,132.2,132.1,,48.1,64.9,56.7,82.6,44.3,21.4,,79.8,104.2,123.8,76.6
180,55,88.1,75.6,88.1,,36.9,65.4,44.3,74.6,27.9,17.2,,60.7,105.3,79.3,48.9
180,60,91.8,78,90.4,,37.7,65.3,45.3,75.1,29.5,17.5,,61.5,105.2,81,51.1
180,65,94.9,81.8,93.2,,38.4,65.3,46.2,75.6,30.6,17.8,,62.7,105.1,83.9,52.9
180,70,98,85.5,96.1,,39.2,65.2,47.1,76.2,31.8,18.1,,63.9,105.1,86.7,54.8
180,75,101.1,89.3,98.9,,39.9,65.2,47.9,76.7,32.9,18.4,,65.2,105,89.6,56.7
180,80,104.2,93.1,101.7,,40.7,65.1,48.8,77.2,34.1,18.7,,66.4,104.9,92.5,58.5
180,85,107.4,96.9,104.6,,41.5,65.1,49.7,77.8,35.2,19,,67.6,104.9,95.4,60.4
180,90,110.5,100.7,107.4,,42.3,65,50.6,78.3,36.4,19.2,,68.9,104.8,98.2,62.3
180,95,113.7,104.6,110.3,,43.1,65,51.5,78.9,37.5,19.5,,70.1,104.7,101.1,64.1
180,100,116.8,108.4,113.1,,43.9,64.9,52.3,79.4,38.7,19.8,,71.4,104.6,104.1,66
180,105,119.8,112.3,116.1,,44.7,64.9,53.2,79.9,39.8,20.1,,72.7,104.5,107.1,67.8
180,110,122.8,116.1,119,,45.5,64.9,53.9,80.5,40.9,20.4,,74,104.4,110.1,69.7
180,115,125.5,119.9,122.1,,46.2,64.9,54.7,81,41.9,20.7,,75.4,104.3,113.3,71.4
180,120,128.1,123.5,125.2,,46.9,64.9,55.4,81.5,42.9,21,,76.7,104.2,116.4,73.2
180,125,130.8,127.1,128.2,,47.6,64.9,56,82.1,43.8,21.2,,78.1,104.2,119.5,74.9
180,130,133.4,130.6,131.2,,48.3,64.9,56.8,82.6,44.8,21.5,,79.3,104.1,122.5,76.6
180,55,87.6,77.1,88.8,,36.9,65.4,44.2,74.6,27.3,17.2,,61.1,105.2,80.5,48.8
180,60,90.6,80.7,91.6,,37.6,65.3,45,75.1,28.4,17.4,,62.3,105.1,83.3,50.6
180,65,93.6,84.5,94.4,,38.3,65.3,45.9,75.7,29.5,17.7,,63.5,105.1,86.2,52.4
180,70,96.7,88.2,97.2,,39.1,65.2,46.7,76.2,30.6,18,,64.7,105,89,54.3
180,75,99.8,92,100,,39.9,65.2,47.6,76.8,31.7,18.3,,65.9,105,91.9,56.1
180,80,103,95.8,102.8,,40.7,65.2,48.5,77.3,32.9,18.5,,67.1,104.9,94.8,58
180,85,106.1,99.6,105.6,,41.4,65.1,49.4,77.9,34,18.8,,68.4,104.9,97.7,59.9
180,90,109.3,103.5,108.5,,42.2,65.1,50.2,78.4,35.2,19.1,,69.6,104.8,100.6,61.7
180,95,112.5,107.3,111.4,,43,65,51.1,78.9,36.4,19.4,,70.9,104.7,103.5,63.6
180,100,115.7,111.2,114.3,,43.8,65,52,79.5,37.5,19.7,,72.1,104.6,106.4,65.5
180,105,118.8,115,117.2,,44.6,65,52.9,80,38.7,20,,73.4,104.5,109.4,67.4
180,110,122,118.9,120.3,,45.3,64.9,53.7,80.6,39.8,20.3,,74.8,104.5,112.5,69.2
180,115,125,122.8,123.5,,46,64.9,54.5,81.1,40.9,20.6,,76.2,104.4,115.6,71.1
180,120,127.9,126.6,126.8,,46.7,64.9,55.2,81.6,41.9,20.8,,77.6,104.3,118.9,72.9
180,125,130.7,130.2,129.9,,47.4,64.9,55.9,82.2,42.9,21.1,,79,104.2,122,74.7
180,130,133.4,133.8,132.9,,48,64.9,56.6,82.7,43.8,21.3,,80.2,104.2,125.1,76.5
180,55,87.1,71.4,87.1,,36.5,65.3,44.2,74.4,27.8,17.1,,60,105.3,76.9,49
180,60,90.3,75.3,89.9,,37.2,65.3,45.1,75,29,17.4,,61.3,105.3,79.8,50.9
180,65,93.4,79.1,92.8,,38,65.2,45.9,75.5,30.1,17.7,,62.5,105.2,82.7,52.8
180,70,96.6,82.9,95.6,,38.8,65.2,46.8,76.1,31.3,18,,63.7,105.2,85.5,54.6
180,75,99.8,86.7,98.5,,39.6,65.1,47.7,76.6,32.5,18.3,,65,105.1,88.4,56.5
180,80,102.9,90.6,101.3,,40.4,65.1,48.6,77.2,33.6,18.6,,66.2,105,91.3,58.4
180,85,106.1,94.4,104.2,,41.1,65,49.5,77.7,34.8,18.9,,67.4,105,94.2,60.3
180,90,109.3,98.2,107,,41.9,64.9,50.4,78.2,35.9,19.1,,68.7,104.9,97.1,62.2
180,95,112.4,102,109.9,,42.7,64.9,51.3,78.8,37.1,19.4,,70,104.8,99.9,64.1
180,100,115.5,105.8,112.8,,43.4,64.9,52.1,79.3,38.3,19.7,,71.2,104.7,102.9,66
180,105,118.4,109.5,115.7,,44.2,64.8,52.9,79.7,39.5,20,,72.6,104.5,105.8,67.9
180,110,121.1,113,118.8,,44.8,64.9,53.6,80.1,40.6,20.3,,74,104.3,108.8,69.8
180,115,123.6,116.5,121.8,,45.4,64.9,54.2,80.5,41.6,20.6,,75.3,104.1,111.8,71.6
180,120,126.1,119.9,124.8,,46.1,64.9,54.9,81,42.6,20.9,,76.7,104,114.8,73.3
180,125,128.8,123.4,127.7,,46.7,64.9,55.6,81.5,43.5,21.1,,77.9,104,117.8,75.1
180,130,131.6,126.9,130.6,,47.3,64.9,56.4,82,44.5,21.4,,79.1,103.9,120.7,76.9
180,55,91.5,82.4,89.9,,38.2,65.4,45.1,75,28.8,17.5,,61.8,105.1,82.5,49.3
180,60,93.6,85.1,92.5,,38.6,65.4,45.7,75.5,29.5,17.7,,62.8,105.2,85.1,50.9
180,65,95.8,88.1,95.1,,39,65.4,46.3,75.9,30.3,17.9,,63.9,105.2,87.8,52.6
180,70,98.5,91.4,97.8,,39.6,65.3,47.1,76.5,31.2,18.1,,65,105.2,90.5,54.4
180,75,101.4,94.9,100.6,,40.3,65.3,47.9,77,32.3,18.4,,66.2,105.1,93.3,56.2
180,80,104.4,98.6,103.3,,41,65.3,48.8,77.5,33.4,18.7,,67.4,105.1,96.1,58
180,85,107.5,102.4,106.1,,41.8,65.2,49.6,78.1,34.5,19,,68.6,105,99,59.9
180,90,110.6,106.1,109,,42.5,65.2,50.5,78.6,35.7,19.2,,69.8,104.9,101.8,61.8
180,95,113.8,109.9,111.8,,43.3,65.1,51.4,79.1,36.8,19.5,,71.1,104.9,104.7,63.6
180,100,116.9,113.8,114.6,,44.1,65.1,52.3,79.7,37.9,19.8,,72.3,104.8,107.6,65.5
180,105,120.1,117.6,117.5,,44.9,65,53.1,80.2,39.1,20.1,,73.5,104.7,110.5,67.3
180,110,123.3,121.5,120.4,,45.7,65,54,80.8,40.2,20.4,,74.8,104.7,113.4,69.2
180,115,126.4,125.4,123.3,,46.5,65,54.9,81.3,41.4,20.7,,76,104.6,116.4,71
180,120,129.5,129.3,126.3,,47.3,64.9,55.7,81.9,42.5,21,,77.4,104.5,119.5,72.9
180,125,132.6,133.2,129.5,,48.1,64.9,56.5,82.5,43.5,21.2,,78.7,104.4,122.7,74.7
180,130,135.5,137.1,132.7,,48.9,64.9,57.2,83.1,44.4,21.5,,80.1,104.3,126,76.6
150,50,91,82.9,90.9,,37.4,53.2,42,63.1,29.9,16.6,,60,85.5,81.9,51.6
150,55,94.1,86.8,93.8,,38.2,53.2,42.9,63.6,31.1,16.9,,61.3,85.5,84.8,53.5
150,60,97.3,90.6,96.6,,39,53.1,43.8,64.2,32.2,17.2,,62.5,85.4,87.7,55.4
150,65,100.5,94.6,99.6,,39.8,53.1,44.7,64.8,33.4,17.5,,63.8,85.4,90.8,57.2
150,70,103.8,98.6,102.7,,40.7,53.1,45.6,65.4,34.5,17.8,,65.2,85.3,93.9,59.1
150,75,107,102.7,106,,41.5,53.2,46.5,66,35.7,18.1,,66.6,85.4,97.2,61
150,80,110.3,107,109.6,,42.4,53.3,47.4,66.7,36.8,18.4,,68.1,85.5,100.8,62.9
150,85,113.4,113.3,113.4,,43.2,53.4,48.3,67.5,37.9,18.8,,69.7,85.6,104.6,64.8
150,90,116.5,115.5,117.2,,44,53.6,49.1,68.3,38.9,19.1,,71.3,85.8,108.3,66.6
150,95,119.3,119.5,120.7,,44.7,53.7,49.9,68.9,39.9,19.3,,72.8,85.9,111.9,68.4
150,100,122.1,123.2,123.9,,45.4,53.7,50.6,69.6,40.8,19.6,,74.1,85.9,115.1,70.2
150,105,124.9,126.8,126.9,,46.1,53.7,51.4,70.1,41.8,19.8,,75.4,85.9,118.1,72
150,110,127.7,130.3,129.8,,46.7,53.7,52.1,70.7,42.8,20.1,,76.6,85.9,121.1,73.8
150,115,130.5,133.9,132.7,,47.4,53.7,52.9,71.2,43.7,20.3,,77.9,85.8,124,75.5
150,120,133.3,137.4,135.6,,48,53.6,53.6,71.8,44.7,20.6,,79.1,85.8,126.9,77.3
150,125,136.1,141,138.5,,48.7,53.6,54.4,72.3,45.7,20.8,,80.3,85.8,129.9,79.1
150,130,138.9,144.5,141.4,,49.4,53.6,55.2,72.8,46.6,21.1,,81.5,85.7,132.8,80.8
155,50,89.9,81,89.9,,37.2,55.2,42.2,64.9,29.4,16.7,,59.9,88.9,80.9,50.9
155,55,93,84.8,92.8,,38,55.2,43.1,65.4,30.5,17,,61.2,88.8,83.8,52.7
155,60,96.2,88.6,95.6,,38.7,55.1,44,66,31.7,17.2,,62.4,88.7,86.7,54.6
155,65,99.4,92.5,98.5,,39.5,55.1,44.9,66.5,32.8,17.5,,63.6,88.7,89.6,56.5
155,70,102.6,96.4,101.4,,40.3,55.1,45.8,67.1,34,17.8,,64.9,88.6,92.6,58.3
155,75,105.8,100.3,104.4,,41.2,55.1,46.7,67.7,35.1,18.1,,66.2,88.6,95.7,60.2
155,80,109,101.4,107.6,,42,55.1,47.6,68.3,36.3,18.4,,67.6,88.6,98.9,62.1
155,85,112.2,108.6,111.1,,42.8,55.2,48.5,69,37.4,18.7,,69.1,88.6,102.3,64
155,90,115.4,112.8,114.8,,43.7,55.3,49.3,69.7,38.5,19.1,,70.7,88.7,106,65.9
155,95,118.4,117,118.5,,44.4,55.5,50.1,70.4,39.5,19.4,,72.2,88.8,109.8,67.7
155,100,121.2,120.9,122,,45.2,55.5,50.9,71.1,40.5,19.6,,73.7,88.9,113.3,69.5
155,105,124,124.7,125.2,,45.8,55.6,51.6,71.7,41.4,19.9,,75.1,88.9,116.5,71.3
155,110,126.8,128.3,128.2,,46.5,55.6,52.4,72.3,42.4,20.1,,76.3,88.9,119.5,73
155,115,129.6,131.8,131.2,,47.2,55.6,53.1,72.8,43.3,20.4,,77.6,88.9,122.5,74.8
155,120,132.4,135.4,134.1,,47.8,55.5,53.9,73.4,44.3,20.6,,78.8,88.9,125.4,76.6
155,125,135.2,138.9,136.9,,48.5,55.5,54.7,73.9,45.3,20.9,,80,88.8,128.4,78.3
155,130,138,142.5,139.8,,49.2,55.5,55.4,74.5,46.2,21.1,,81.2,88.8,131.3,80.1
160,50,88.8,79.1,89,,36.9,57.3,42.4,66.7,28.8,16.7,,59.8,92.2,80,50.1
